"","ME8","ME2","ME13","ME4","ME7","ME10","ME12","ME14","ME6","ME9","ME11","ME15","ME16","ME1","ME3","ME5","ME0"
"1",-0.360473945644396,-0.340379731431389,-0.170892065865305,0.0860252267065414,-0.0104131977840505,-0.259310131374301,-0.375404979205447,-0.36641401470159,-0.363481925315624,-0.252282693341735,0.152801557164664,0.471027334385046,0.569840983588,0.291319645455893,0.283596760979924,0.301510005361491,-0.0322975760743163
"2",-0.233972093458623,-0.35170737676243,-0.300877549536308,-0.270046481453128,-0.321947875803693,-0.308729200996064,-0.330588353182655,-0.325419611946144,-0.188882440234354,0.124296917426057,0.28886729584927,-0.123828347589782,0.0382459317330874,0.221494423837229,-0.347440341716065,-0.176605161682375,0.302984256510415
"3",-0.201826031929672,-0.339082861502342,-0.373840509949033,-0.264965703438777,-0.296154540244163,-0.189449193008397,0.154028090032017,0.530646100737088,0.498637135519515,0.523958938980845,0.203082840996639,-0.246564260240796,-0.0499069447052756,0.561854513651998,0.489683609038234,0.0169837851639421,-0.31760847312981
"4",-0.0355588130418147,-0.207190236879999,-0.309267696940146,-0.258958599929617,-0.240696182391747,0.0483499472886035,0.353897370042502,0.0423968083132732,0.348811666918274,0.192755550229722,-0.190524244020578,-0.323831831430371,-0.286548424244624,0.223847859678375,-0.203148599377613,0.0502677001424041,-0.0502877981648615
"5",0.0624531706103508,-0.191698640918514,-0.295019683888385,0.026193620189078,0.230154651050051,0.366194054778186,0.228692271232364,-0.318697076200416,-0.0945067798497242,-0.273772298602286,-0.307805148153978,-0.252855453935789,-0.277336903339081,0.187477196360061,-0.134888997886587,-0.232342258820264,0.494760682193192
"6",0.475486407216135,0.0272606658112179,-0.1218288203092,0.533810769368044,0.353155466615825,0.244032486641803,-0.141239155209757,-0.165673139208203,-0.282606031724703,-0.276565301455608,-0.210585889727737,0.3351990628183,-0.0672630457850922,0.124279000559442,0.237784920187598,0.54255294476511,-0.196264733778254
"7",0.186127360701278,0.0320110393175118,-0.0263172007855286,0.184621566378077,-0.0042465187652132,-0.269084534824884,-0.338968544850381,0.227701437822721,-0.299457321867139,-0.234834436590139,0.0461143775191497,0.387513322331358,0.421659449069106,-0.230269905799654,-0.287203656539847,-0.325223326182854,-0.177166007632941
"8",0.600517794783115,0.5691240172291,0.278090526562576,-0.224087376919034,-0.249311312923224,-0.264059296525143,-0.188271114329402,0.318208879532144,0.0928596173395825,0.44995342082902,0.683119844802224,0.307458051143311,0.399703345650262,-0.193784520870737,0.452816168317087,0.269901849859371,0.385777341166781
"9",0.041545125199596,0.233172714126367,0.186164036601564,-0.265494932253932,-0.272499157842044,-0.190633806659481,-0.0173751871547452,-0.244060571434125,0.300977923716811,0.264933031088224,0.100967123517152,-0.219202528381724,-0.0565753405150847,-0.260015643470791,-0.244363739906012,-0.176945066503283,-0.229267896521759
"10",-0.0517992743233236,0.390657915069862,0.379055142614735,-0.230532309436368,-0.0803846066156058,0.119896648486357,0.439687303157482,-0.135861685023725,0.33250166479618,-0.012917766714771,-0.22110165800205,-0.302559541018588,-0.270634591692182,-0.30677702948198,-0.0780096568157006,-0.249893490441338,-0.156562379657631
"11",-0.124518241499197,0.181988511177197,0.4074346266436,0.175443258825977,0.572423607670209,0.639282436195684,0.391816953606099,0.320458417322111,-0.0881848233131064,-0.220850373691944,-0.283367076917777,-0.150401611250848,-0.260972001718474,-0.257030676295267,0.10985878142361,0.346381238968966,0.35050477679212
"12",-0.357981458613449,-0.00415601523658306,0.347299194851431,0.507990961963139,0.319919667033654,0.0635105899976364,-0.176274654138077,0.116714454786866,-0.256668685985712,-0.284674988157384,-0.261569023026978,0.118045803169883,-0.160212458040643,-0.362394863624569,-0.278685247704629,-0.366588220631168,-0.374572191702936
