"","ME3","ME5","ME8","ME7","ME1","ME4","ME6","ME2","ME9","ME10","ME0"
"1",-0.332696484695631,-0.228334379767019,0.440305617152151,0.291988464649256,0.244836481550488,0.272270228213066,0.123296789679699,-0.251064953589555,-0.321530249505449,-0.261374252103591,-0.316729956658926
"2",-0.144562254055205,0.0909024617877994,0.170992684398089,0.287415332389795,-0.234156054265621,-0.0345954643610302,-0.255335687311136,-0.309301561793667,-0.294099444097462,-0.301535664818695,0.582094753719912
"3",0.508126467227809,0.442948032791438,0.0633652974645909,0.546894393679805,0.263133392218861,-0.140562658633985,-0.262795764535192,-0.340755195935236,0.140566328676013,-0.231226248396155,0.0391279245348321
"4",0.35343616782686,0.233418099195294,-0.266940776812,0.3181340757746,-0.0433898445133125,0.280916081589164,-0.248552435160596,-0.199622766771188,0.464605757700726,0.187475431615693,-0.493880968774453
"5",-0.248692777105713,-0.31882217562735,-0.325643420654629,-0.0169755337849353,-0.338066120319906,-0.333095865496189,-0.0760627078771372,-0.313617121553813,-0.0077747995688486,0.12477075339799,0.182564419246124
"6",-0.254639052956123,-0.265640368209735,-0.0438523344247228,0.132084830478694,0.462895114788564,0.510125962347116,0.567967500513782,0.0407426164435976,-0.115177264564163,0.300521074420584,-0.00258533776349001
"7",-0.300602720373728,-0.264704270775109,0.124090825390953,-0.262283196522916,-0.358138984103902,-0.373778547497676,0.0699242651531989,-0.134175266154738,-0.332040488327694,-0.271731900929113,0.285557059701195
"8",0.144627435144757,0.521715418014512,0.620976271126385,-0.198985262131968,0.453557546885329,0.0863709005673626,-0.20424424384394,0.493946808216338,-0.167855111203218,-0.277998898768792,0.0815093259783028
"9",0.282623921858692,0.233033229957,-0.0493811259802702,-0.253877235320613,-0.21086180275093,-0.108122326324753,-0.260065619583397,0.189930008777271,-0.0215171184139384,-0.235810358366711,-0.0152118153402762
"10",0.323697880480181,0.0377754388211663,-0.288663359639803,-0.279741934704485,-0.10338651487099,-0.23539887933816,-0.191765093413442,0.463801576485056,0.512340066320996,0.236540998320236,-0.0220855918926221
"11",-0.10323198871797,-0.206422101655185,-0.284892529468748,-0.23999505981784,0.140484932564256,0.382657956489898,0.232206223732906,0.240499816760496,0.344780923352285,0.606914963238578,0.106129118283972
"12",-0.228086594633929,-0.275869384532812,-0.160357148551997,-0.324658874689393,-0.276908147182835,-0.306787387554814,0.505426772645255,0.119616039115439,-0.202298600369246,0.123454102389977,-0.426488931034571
