Sample,Lake,Timepoint,Time
GEODES001,Sparkling,0,5
GEODES002,Sparkling,0,5
GEODES003,Sparkling,0,5
GEODES009,Sparkling,4,9
GEODES010,Sparkling,4,9
GEODES011,Sparkling,4,9
GEODES014,Sparkling,8,13
GEODES016,Sparkling,8,13
GEODES017,Sparkling,12,17
GEODES018,Sparkling,12,17
GEODES020,Sparkling,12,17
GEODES021,Sparkling,16,21
GEODES022,Sparkling,16,21
GEODES023,Sparkling,16,21
GEODES026,Sparkling,20,1
GEODES027,Sparkling,20,1
GEODES028,Sparkling,20,1
GEODES030,Sparkling,24,5
GEODES031,Sparkling,24,5
GEODES032,Sparkling,24,5
GEODES033,Sparkling,28,9
GEODES035,Sparkling,28,9
GEODES037,Sparkling,32,13
GEODES038,Sparkling,32,13
GEODES039,Sparkling,32,13
GEODES041,Sparkling,36,17
GEODES042,Sparkling,36,17
GEODES043,Sparkling,36,17
GEODES045,Sparkling,40,21
GEODES046,Sparkling,40,21
GEODES047,Sparkling,40,21
GEODES049,Sparkling,44,1
GEODES050,Sparkling,44,1
GEODES051,Sparkling,44,1
GEODES054,Trout,0,5
GEODES055,Trout,0,5
GEODES061,Trout,4,9
GEODES062,Trout,4,9
GEODES063,Trout,4,9
GEODES065,Trout,8,13
GEODES066,Trout,8,13
GEODES067,Trout,8,13
GEODES069,Trout,12,17
GEODES070,Trout,12,17
GEODES071,Trout,12,17
GEODES073,Trout,16,21
GEODES074,Trout,16,21
GEODES075,Trout,16,21
GEODES077,Trout,20,1
GEODES078,Trout,20,1
GEODES079,Trout,20,1
GEODES081,Trout,24,5
GEODES082,Trout,24,5
GEODES083,Trout,24,5
GEODES110,Trout,44,1
GEODES113,Mendota,0,5
GEODES114,Mendota,0,5
GEODES115,Mendota,0,5
GEODES121,Mendota,4,9
GEODES122,Mendota,4,9
GEODES123,Mendota,4,9
GEODES125,Mendota,8,13
GEODES126,Mendota,8,13
GEODES129,Mendota,12,17
GEODES130,Mendota,12,17
GEODES131,Mendota,12,17
GEODES133,Mendota,16,21
GEODES134,Mendota,16,21
GEODES135,Mendota,16,21
GEODES137,Mendota,20,1
GEODES138,Mendota,20,1
GEODES139,Mendota,20,1
GEODES141,Mendota,24,5
GEODES144,Mendota,24,5
GEODES145,Mendota,28,9
GEODES154,Mendota,36,17
GEODES155,Mendota,36,17
GEODES157,Mendota,40,21
GEODES158,Mendota,40,21
GEODES159,Mendota,40,21
GEODES161,Mendota,44,1
GEODES162,Mendota,44,1
GEODES163,Mendota,44,1
